Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,RPT_REC_NUM,FY,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
010021,AS_SUBMITTED,10/01/2022,09/30/2023,DALE MEDICAL CENTER,126 HOSPITAL,OZARK,,AL,36360-,DALE,2180,764568,2023,0,0,0,0,52615,0,52615,0,0,0,77,0,77,1086,1696,6458,28105,0,272.1,0,0,208,268,1181,0,0,0,0,0,114,0
010022,AS_SUBMITTED,01/01/2023,12/31/2023,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,CENTRE,,AL,35960-,CHEROKEE,0,776663,2023,0,0,0,0,21857,0,21857,0,0,0,45,0,45,580,1947,4465,16425,0,76.06,0,0,132,391,985,0,0,0,0,0,0,0
010023,AS_SUBMITTED,07/01/2023,06/30/2024,BAPTIST MEDICAL CENTER SOUTH,2105  EAST SOUTH BOULEVARD,MONTGOMERY,11010,AL,36116-,MONTGOMERY,5240,791607,2023,1842920,0,90145,1933065,1365236,0,1365236,937138,827648,1764786,342,12,354,16034,21850,103860,130662,51.48,1968.8,0,0,2422,2963,15282,625,0,0,801,0,1823,0
010024,AMENDED,01/01/2023,12/31/2023,JACKSON HOSPITAL AND CLINIC  INC,1725 PINE STREET,MONTGOMERY,,AL,36106-1109,MONTGOMERY,5240,795834,2023,166626,0,9545,176171,744363,0,744363,145033,53835,198868,278,14,292,14234,10681,70697,106580,3.57,1533.16,0,0,2415,1708,11493,438,0,0,0,0,0,0
010029,AS_SUBMITTED,10/01/2022,09/30/2023,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PKWY,OPELIKA,,AL,36802-,LEE,580,764884,2023,979136,0,58488,1037624,962791,0,962791,1013921,467612,1481533,265,0,265,14721,15969,74099,96725,21.68,2105.4,0,0,2323,2543,12527,3228,0,0,0,0,0,0
010033,AS_SUBMITTED,10/01/2022,09/30/2023,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,,AL,35233,JEFFERSON,1000,764885,2023,18922805,0,962540,19885345,5636556,0,5636556,8532628,4115141,12647769,1149,0,1149,57476,84184,378946,419382,626.17,11410.68,0,0,8687,9115,47857,0,0,0,815,250,2452,1134
010034,AS_SUBMITTED,10/01/2022,09/30/2023,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,TALLASSEE,,AL,36078,ELMORE,5240,764070,2023,0,0,0,0,21074,0,21074,0,0,0,37,0,37,724,336,2416,13505,0,125.84,0,0,116,72,470,0,0,0,6,0,107,0
010035,AS_SUBMITTED,07/01/2023,06/30/2024,CULLMAN REGIONAL,1912 ALABAMA HIGHWAY 157,CULLMAN,,AL,35056,CULLMAN,0,791970,2023,0,0,0,0,248943,0,248943,0,0,0,162,13,175,9009,3539,30979,64050,0,1104.28,0,0,2364,1267,9823,0,0,0,0,0,0,0
010036,AS_SUBMITTED,04/01/2023,03/31/2024,ANDALUSIA REGIONAL HOSPITAL,849 THREE NOTCH STREET,ANDALUSIA,,AL,36420,COVINGTON,0,782096,2023,0,0,0,0,200282,0,200282,0,0,0,83,5,88,2213,1681,8095,32208,0,257.61,0,0,640,501,2448,7,0,0,0,0,0,0
010039,AS_SUBMITTED,07/01/2023,06/30/2024,HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,HUNTSVILLE,,AL,35801-,MADISON,3440,791804,2023,4270661,0,212754,4483415,3098136,0,3098136,1993167,912223,2905390,904,28,932,57778,58218,279535,341112,62.72,7307.32,0,0,9988,10223,52376,0,0,0,267,0,1599,0
010040,AS_SUBMITTED,10/01/2022,09/30/2023,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,,AL,35903,ETOWAH,2880,764886,2023,320958,1768,23225,345951,555229,2611,557840,314869,136243,451112,175,0,175,8823,8236,43720,72995,8.02,803.92,0,0,1662,1487,9016,0,0,0,10,0,305,0
010044,AS_SUBMITTED,10/01/2022,09/30/2023,MARION REGIONAL MEDICAL CENTER,1256 MILITARY ST SOUTH,HAMILTON,,AL,35570-,MARION,0,765462,2023,0,0,0,0,5654,0,5654,0,0,0,36,0,36,1639,51,2844,13140,0,115.15,0,0,110,19,259,4,0,0,0,0,0,0
010045,AS_SUBMITTED,10/01/2022,09/30/2023,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,,AL,35555-,FAYETTE,0,764887,2023,0,0,0,0,19762,0,19762,0,0,0,35,0,35,1538,192,2884,12775,0,170.59,0,0,206,77,548,0,0,0,0,0,0,0
010046,AS_SUBMITTED,01/01/2023,12/31/2023,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH 3RD STREET,GADSDEN,,AL,35901,ETOWAH,2880,776665,2023,0,0,0,0,214798,0,214798,0,0,0,256,0,256,8391,3461,34402,93440,0,572.43,0,0,1825,752,7748,7,0,0,28,0,275,0
010049,AS_SUBMITTED,01/01/2023,12/31/2023,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,ENTERPRISE,,AL,36330-,COFFEE,0,774806,2023,0,0,0,0,160625,0,160625,0,0,0,89,0,89,2966,3074,14536,32485,0,347.46,0,0,672,790,3323,0,0,0,0,0,0,0
010051,AS_SUBMITTED,10/01/2022,09/30/2023,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,,AL,35462,GREENE,0,762236,2023,0,0,0,0,1541,0,1541,0,0,0,20,0,20,69,1226,1878,7300,0,53.11,0,0,12,201,281,0,0,0,0,0,0,0
010052,AS_SUBMITTED,01/01/2023,12/31/2023,LAKE MARTIN COMMUNITY HOSPITAL,1231 SOUTH STREET,DADEVILLE,,AL,36853,TALLAPOOSA,0,772990,2023,0,0,0,0,11716,0,11716,0,0,0,46,0,46,346,309,1670,16790,0,63.65,0,0,105,69,500,0,0,0,0,0,0,0
010055,AS_SUBMITTED,10/01/2022,09/30/2023,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,6907,AL,36302-,HOUSTON,2180,764888,2023,0,0,0,0,643739,0,643739,0,0,0,194,0,194,13931,7318,58162,70810,0,1030.18,0,0,2777,1589,12653,0,0,0,0,0,0,0
010056,AS_SUBMITTED,07/01/2023,06/30/2024,ST VINCENTS BIRMINGHAM,810 ST VINCENTS DRIVE,BIRMINGHAM,,AL,35205-,JEFFERSON,1000,796314,2023,44930,0,3925,48855,518025,0,518025,37788,25370,63158,399,0,399,16329,10487,96686,146034,2.02,1617.59,0,0,3152,1746,18511,0,0,0,0,0,0,0
010058,AS_SUBMITTED,10/01/2022,09/30/2023,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,,AL,35042,BIBB,0,765289,2023,0,0,0,0,12356,0,12356,0,0,0,25,4,29,1281,240,3050,10585,0,129.55,0,0,73,104,254,0,0,0,0,0,0,0
010059,AS_SUBMITTED,10/01/2022,09/30/2023,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,,AL,35650-,LAWRENCE,2030,764889,2023,0,0,0,0,3503,0,3503,0,0,0,43,0,43,542,97,1628,15695,0,98.93,0,0,93,29,360,0,0,0,0,0,0,0
010061,AS_SUBMITTED,11/01/2022,10/31/2023,HIGHLANDS MEDICAL CENTER,380 WOOD COVE ROAD,SCOTTSBORO,1050,AL,35768,JACKSON,0,768306,2023,0,0,0,0,125031,0,125031,0,0,0,45,4,49,2404,1415,7803,17885,0,403.18,0,0,540,181,2055,0,0,0,0,0,0,0
010062,AS_SUBMITTED,10/01/2022,09/30/2023,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE STREET,GENEVA,,AL,36340,GENEVA,0,764891,2023,0,0,0,0,15999,0,15999,0,0,0,33,0,33,1239,737,3374,12045,0,150.14,0,0,84,155,422,0,0,0,27,0,208,0
010065,AS_SUBMITTED,01/01/2023,12/31/2023,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,939,AL,35010,TALLAPOOSA,0,776131,2023,0,0,0,0,94000,0,94000,0,0,0,45,4,49,1977,1114,7395,17885,0,457.54,0,0,385,415,1614,45,0,0,0,0,0,0
010069,AS_SUBMITTED,01/01/2023,12/31/2023,MEDICAL CENTER BARBOUR,820 WEST WASHINGTON STREET,EUFAULA,,AL,36027,BARBOUR,0,776557,2023,0,0,0,0,19440,0,19440,0,0,0,30,0,30,681,318,3058,10950,0,122.66,0,0,206,112,978,0,0,0,0,0,234,0
010073,AS_SUBMITTED,10/01/2022,09/30/2023,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,1270,AL,36251,CLAY,0,764892,2023,0,0,0,0,107763,0,107763,0,0,0,46,0,46,1267,1271,4052,16790,0,163.45,0,0,200,242,736,0,0,0,0,0,0,0
010078,AMENDED,10/01/2022,09/30/2023,NORTHEAST ALABAMA REGIONAL MED CTR,400 EAST TENTH STREET,ANNISTON,2208,AL,36202-,CALHOUN,450,778593,2023,0,0,0,0,966010,0,966010,0,0,0,295,10,305,15576,14958,64968,111325,0,1454.46,0,0,2699,2608,12678,0,0,0,0,0,600,0
010079,AS_SUBMITTED,07/01/2023,06/30/2024,ATHENS LIMESTONE,700 MARKET ST W,ATHENS,,AL,35611-,LIMESTONE,3440,791609,2023,0,0,0,0,209774,0,209774,0,0,0,66,5,71,4130,2431,14221,25981,0,630.88,0,0,1011,1005,3992,0,0,0,0,0,0,0
010083,AS_SUBMITTED,10/01/2022,09/30/2023,SOUTH BALDWIN REGIONAL MEDICAL CENTE,1613 NORTH MCKENZIE,FOLEY,,AL,36535-,BALDWIN,5160,767853,2023,1738876,0,115389,1854265,189489,0,189489,943019,820882,1763901,108,0,108,6539,3541,26562,39420,27.05,707.54,0,0,1579,731,5189,0,0,0,0,0,0,0
010085,AS_SUBMITTED,04/01/2023,03/31/2024,DECATUR MORGAN - DECATUR CAMPUS,7TH STREET S.E.,DECATUR,2239,AL,35609-,MORGAN,3440,781855,2023,0,0,0,0,295773,0,295773,0,0,0,310,11,321,11532,4640,40149,117486,0,1229.48,0,0,1970,1616,8098,0,0,0,934,0,1619,0
010086,AS_SUBMITTED,01/01/2023,12/31/2023,NORTHWEST MEDICAL CENTER,HIGHWAY 78 WEST,WINFIELD,130,AL,35594,MARION,0,775293,2023,0,0,0,0,30015,0,30015,0,0,0,28,0,28,1228,397,3022,10220,0,182.61,0,0,306,114,856,0,0,0,23,0,168,0
010087,AS_SUBMITTED,10/01/2022,09/30/2023,USA HEALTH UNIVERSITY HOSPITAL,2451 UNIVERSITY HOSPITAL DRIVE,MOBILE,,AL,36617,MOBILE,5160,764369,2023,4399135,158509,212097,4769741,823754,17747,841501,4866045,3343046,8209091,264,0,264,11643,20745,93685,96360,201.11,2195.73,0,0,1433,2403,12610,0,0,0,0,0,0,0
010089,AS_SUBMITTED,01/01/2023,12/31/2023,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,3547,AL,35502,WALKER,0,775294,2023,0,0,0,0,282718,0,282718,0,0,0,207,8,215,3984,4696,22446,78475,0,353.25,0,0,964,1142,5702,0,0,0,292,0,1121,0
010090,AS_SUBMITTED,07/01/2023,09/30/2023,PROVIDENCE HOSPITAL,6801 AIRPORT BLVD,MOBILE,,AL,36608,MOBILE,5160,767854,2023,0,0,0,0,103472,0,103472,0,0,0,349,0,349,3263,2033,15925,32108,0,975.37,0,0,589,429,3137,0,0,0,0,0,0,0
010091,AS_SUBMITTED,07/01/2023,06/30/2024,GROVE HILL MEMORIAL HOSPITAL,295 SOUTH JACKSON STREET,GROVE HILL,935,AL,36451-,CLARKE,0,792510,2023,0,0,0,0,6067,0,6067,0,0,0,21,0,21,152,667,1521,7686,0,84.88,0,0,41,206,428,0,0,0,0,0,0,0
010092,AS_SUBMITTED,10/01/2022,09/30/2023,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BLVD EAST,TUSCALOOSA,,AL,35401-,TUSCALOOSA,8600,764894,2023,2883460,0,138198,3021658,1966965,0,1966965,1831514,730918,2562432,398,17,415,25571,30384,116499,151475,48.51,3125.9,0,0,4385,6613,24572,0,0,0,0,20,1094,733
010095,AS_SUBMITTED,10/01/2022,09/30/2023,HALE COUNTY HOSPITAL,508 GREENE STREET,GREENSBORO,,AL,36744,HALE,0,764895,2023,0,0,0,0,12750,0,12750,0,0,0,28,0,28,591,282,1904,10220,0,86.59,0,0,78,114,326,0,0,0,0,0,0,0
010097,AS_SUBMITTED,01/01/2023,12/31/2023,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,,AL,36092,ELMORE,5240,772412,2023,0,0,0,0,27944,0,27944,0,0,0,33,0,33,486,537,3094,12045,0,146.16,0,0,154,100,868,0,0,0,0,0,0,0
010099,AS_SUBMITTED,10/01/2022,09/30/2023,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,908,AL,36427,ESCAMBIA,0,764896,2023,0,0,0,0,47686,0,47686,0,0,0,46,3,49,947,934,3409,17885,0,186.86,0,0,272,326,1089,0,0,0,0,0,0,0
010100,AS_SUBMITTED,04/01/2023,03/31/2024,THOMAS HOSPITAL,750 MORPHY AVE,FAIRHOPE,929,AL,36532-,BALDWIN,5160,782694,2023,3171525,0,164430,3335955,165691,0,165691,1613403,803723,2417126,164,0,164,13168,3952,50430,60024,37.16,1015,0,0,2687,861,11283,936,0,0,0,1,0,326
010101,AS_SUBMITTED,01/01/2023,12/31/2023,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,,AL,35161,TALLADEGA,0,775295,2023,0,0,0,0,56705,0,56705,0,0,0,103,0,103,1242,1032,8269,37595,0,141.4,0,0,318,239,1481,0,0,0,0,0,0,0
010102,AS_SUBMITTED,10/01/2022,09/30/2023,JOHN PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,,AL,36726-1610,WILCOX,0,764897,2023,0,0,0,0,3237,0,3237,0,0,0,21,0,21,73,18,199,7665,0,37.9,0,0,20,13,81,0,0,0,0,0,0,0
010103,AS_SUBMITTED,01/01/2023,12/31/2023,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVE SW,BIRMINGHAM,,AL,35211,JEFFERSON,1000,775296,2023,1885771,0,148530,2034301,473840,0,473840,4468078,983750,5451828,255,6,261,8768,8442,52277,95233,50.39,655.6,0,0,1591,1186,9856,0,0,0,25,0,288,0
010104,AS_SUBMITTED,07/01/2023,06/30/2024,GRANDVIEW MEDICAL CENTER,800 MONTCLAIR ROAD,BIRMINGHAM,,AL,35213,JEFFERSON,1000,791972,2023,2695588,0,124783,2820371,790886,0,790886,2351408,1047248,3398656,407,0,407,24960,17902,132768,148962,44.86,2131.81,0,0,5050,2648,26475,0,0,0,0,16,277,480
010108,AS_SUBMITTED,07/01/2023,06/30/2024,PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,PRATTVILLE,,AL,36067-,AUTAUGA,5240,791610,2023,0,0,0,0,46910,0,46910,0,0,0,49,0,49,3507,1215,13819,17934,0,321.73,0,0,663,286,2656,0,0,0,58,0,424,0
010110,SETTLED,01/01/2023,12/31/2023,BULLOCK COUNTY HOSPITAL,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,102 CONECUH AVENUE,AL,36089,BULLOCK,0,780620,2023,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,6205,0,73.87,0,0,0,0,0,0,0,0,231,0,813,0
010112,AS_SUBMITTED,10/01/2022,09/30/2023,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,,AL,36732,MARENGO,0,764898,2023,0,0,0,0,86920,0,86920,0,0,0,47,0,47,2254,1151,8562,17155,0,249.33,0,0,316,279,1455,0,0,0,141,0,557,0
010113,AS_SUBMITTED,04/01/2023,03/31/2024,MOBILE INFIRMARY MEDICAL CENTER,FIVE MOBILE INFIRMARY CIRCLE,MOBILE,2144,AL,36652-,MOBILE,5160,782695,2023,83915,0,4173,88088,1099195,0,1099195,71684,31684,103368,521,14,535,27047,17918,145469,195810,0.76,2123.84,0,0,4050,1484,21932,1819,0,0,3,11,393,497
010114,AS_SUBMITTED,10/01/2022,09/30/2023,UAB MEDICAL WEST,995 NINTH AVENUE  SOUTHWEST,BESSEMER,847,AL,35023,JEFFERSON,1000,765015,2023,0,0,0,0,241677,0,241677,0,0,0,204,0,204,6250,4836,35087,73870,0,919.9,0,0,977,1146,6074,0,0,0,19,31,273,239
010118,AS_SUBMITTED,07/01/2023,06/30/2024,VAUGHAN REGIONAL MEDICAL CENTER,1015 MEDICAL CENTER PARKWAY,SELMA,,AL,36701,DALLAS,0,791975,2023,221646,0,26709,248355,317627,0,317627,338824,164113,502937,109,0,109,2256,3614,14058,39894,14.9,324.43,0,0,557,1073,4009,2,0,0,0,0,0,0
010120,AS_SUBMITTED,10/01/2022,09/30/2023,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,886,AL,36461,MONROE,0,768071,2023,0,0,0,0,32556,0,32556,0,0,0,46,0,46,711,583,2908,16790,0,190.52,0,0,196,311,810,0,0,0,0,0,0,0
010125,AS_SUBMITTED,01/01/2023,12/31/2023,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195,HALEYVILLE,780,AL,35565,WINSTON,0,774086,2023,0,0,0,0,21966,0,21966,0,0,0,40,0,40,1599,247,3103,14600,0,115.25,0,0,298,80,695,0,0,0,0,0,125,0
010126,AS_SUBMITTED,04/01/2023,03/31/2024,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231,TROY,,AL,36081,PIKE,0,784956,2023,0,0,0,0,34220,0,34220,0,0,0,41,0,41,706,601,3896,15006,0,215.68,0,0,159,183,921,0,0,0,27,0,243,0
010128,AMENDED,01/01/2023,12/31/2023,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,,AL,36545,CLARKE,0,779429,2023,0,0,0,0,17992,0,17992,0,0,0,35,0,35,613,667,2156,12775,0,95.95,0,0,116,198,530,0,0,0,0,0,0,0
010129,AS_SUBMITTED,04/01/2023,03/31/2024,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,1409,AL,36507,BALDWIN,5160,782499,2023,0,0,0,0,61384,0,61384,0,0,0,58,0,58,1365,942,6000,21228,0,226.08,0,0,281,289,2166,293,0,0,20,0,353,0
010130,AS_SUBMITTED,07/01/2023,06/30/2024,ST. VINCENTS ST. CLAIR,7063 VETERANS PARKWAY,PELL CITY,,AL,35125,ST. CLAIR,1000,796315,2023,0,0,0,0,0,0,0,0,0,0,40,0,40,2129,534,8832,14640,0,160.03,0,0,472,156,2076,0,0,0,0,0,0,0
010131,AS_SUBMITTED,07/01/2023,06/30/2024,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DRIVE,HUNTSVILLE,,AL,35801-,MADISON,3440,791976,2023,1369677,0,86148,1455825,140273,0,140273,758860,472983,1231843,159,0,159,11142,3682,41622,58048,19.77,978.23,0,0,2246,720,8931,0,0,0,0,0,0,0
010138,AS_SUBMITTED,01/01/2023,12/31/2023,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,,AL,36925,SUMTER,0,775300,2023,0,0,0,0,2660,0,2660,0,0,0,33,0,33,140,2117,3454,12045,0,44.05,0,0,20,100,279,0,0,0,0,0,0,0
010139,AS_SUBMITTED,01/01/2023,12/31/2023,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,,AL,35209,JEFFERSON,1000,774354,2023,0,0,0,0,537321,0,537321,0,0,0,429,19,448,8041,14161,60540,163520,0,846.5,0,0,1526,1625,11857,10,8,0,353,0,1533,738
010144,AS_SUBMITTED,01/01/2023,12/31/2023,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,,AL,36608,MOBILE,5160,776668,2023,0,0,0,0,266211,0,266211,0,0,0,189,29,218,9968,5197,52641,79570,0,965.87,0,0,1779,949,9041,0,0,0,0,0,0,406
010148,AS_SUBMITTED,01/01/2023,12/31/2023,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,,AL,36401-,CONECUH,0,776132,2023,0,0,0,0,48299,0,48299,0,0,0,44,0,44,1319,476,3592,16060,0,98.75,0,0,364,181,906,0,0,0,0,0,0,0
010149,AS_SUBMITTED,07/01/2023,06/30/2024,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,,AL,36117-,MONTGOMERY,5240,791612,2023,0,0,0,0,684703,0,684703,0,0,0,208,0,208,6781,16915,59406,76128,0,992.57,0,0,1251,2994,11002,0,0,0,0,0,0,0
010150,AS_SUBMITTED,10/01/2022,09/30/2023,REGIONAL MEDICAL CTR OF CENTRAL AL,29 LV STABLER DRIVE,GREENVILLE,,AL,36037,BUTLER,0,767586,2023,0,0,0,0,25048,0,25048,0,0,0,44,0,44,662,454,3031,16060,0,135.75,0,0,137,127,701,0,0,0,1,0,132,0
010157,AS_SUBMITTED,04/01/2023,03/31/2024,SHOALS HOSPITAL,201 W AVALON AVE.,MUSCLE SHOALS,3359,AL,35661,COLBERT,2650,782102,2023,64493,0,4307,68800,30363,0,30363,251026,46487,297513,47,0,47,1052,2642,10450,17202,5.57,181.83,0,0,148,437,1602,0,0,0,0,8,379,785
010158,AS_SUBMITTED,01/01/2023,12/31/2023,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,1089,AL,35653,,0,775302,2023,0,0,0,0,41105,0,41105,0,0,0,51,0,51,2087,534,4898,18615,0,82.24,0,0,325,106,938,0,0,0,0,0,0,0
010164,AS_SUBMITTED,08/01/2023,07/31/2024,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,,AL,35150,TALLADEGA,0,795400,2023,0,0,0,0,156852,0,156852,0,0,0,122,0,122,2129,3227,9754,44652,0,394.66,0,0,498,750,3082,0,0,0,15,0,317,0
010168,AS_SUBMITTED,01/01/2023,12/31/2023,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,,AL,36867,RUSSELL,1800,775303,2023,662110,0,94437,756547,0,0,0,243832,284532,528364,47,0,47,1171,120,5300,17155,8.93,299.14,0,0,412,27,2362,2,0,0,0,0,0,0
